"file","line","kind","target","code"
"js\dashboard\dashboard-admin.js","2475","channel","rt-servicio-admin",".channel(""rt-servicio-admin"")"
"js\dashboard\dashboard-admin.js","2487","channel","rt-ubicacion-admin",".channel(""rt-ubicacion-admin"")"
"modules\alarma\alarma.js","542","from","alarm_event",".from(""alarm_event"")"
"modules\alarma\alarma.js","744","from","alarm_event",".from(""alarm_event"")"
"netlify\functions\checkin-scheduler.js","42","from","alarm_event",".from(""alarm_event"")"
"netlify\functions\checkin-scheduler.js","60","from","alarm_event",".from(""alarm_event"")"
"netlify\functions\checkin-scheduler.js","94","from","alarm_event","const { error } = await supabase.from(""alarm_event"").insert(payload);"
"netlify\functions\checkin-scheduler.js","113","from","alarm_event","const { error } = await supabase.from(""alarm_event"").insert(payload);"
"netlify\functions\push-cron-checkin.js","62","from","alarm_event",".from(""alarm_event"")"
"netlify\functions\push-cron-checkin.js","115","from","alarm_event","await supabase.from(""alarm_event"").insert({"
"netlify\functions\ruta-desvio-handler.js","201","from","alarm_event",".from(""alarm_event"")"
"netlify\functions\ruta-desvio-handler.js","245","from","alarm_event","const { error } = await supabase.from(""alarm_event"").insert(payload);"
"netlify\functions\ruta-desvio-handler.js","257","from","alarm_event",".from(""alarm_event"")"
"netlify\functions\ruta-desvio-handler.js","272","from","alarm_event",".from(""alarm_event"")"
"js\dashboard\admin-clientes-rutas.js","191","from","cliente",".from(""cliente"")"
"js\dashboard\admin-clientes-rutas.js","387","from","cliente",".from(""cliente"")"
"js\dashboard\custodia-registros.js","277","from","cliente",".from(""cliente"")"
"js\dashboard\dashboard-custodia.js","1030","from","cliente",".from(""cliente"")"
"js\dashboard\dashboard-custodia.js","1235","from","cliente",".from(""cliente"")"
"js\dashboard\dashboard-custodia.js","1279","from","cliente",".from(""cliente"")"
"js\dashboard\dashboard-custodia.js","1354","from","cliente",".from(""cliente"")"
"js\dashboard\admin-custodias.js","73","from","custodia",".from(""custodia"")"
"js\dashboard\admin-custodias.js","177","from","custodia",".from(""custodia"")"
"js\dashboard\custodia-registros.js","853","from","custodia",".from(""custodia"")"
"js\login\login.js","218","from","custodia",".from(""custodia"")"
"js\registro-custodia.js","357","from","custodia",".from(""custodia"")"
"js\login\login.js","191","from","custodia_login",".from(""custodia_login"")"
"js\registro-custodia.js","378","from","custodia_login",".from(""custodia_login"")"
"modules\alarma\alarma.js","1901","from","push_subscription",".from(""push_subscription"")"
"modules\alarma\alarma.js","1920","from","push_subscription",".from(""push_subscription"")"
"netlify\functions\push-send.js","182","from","push_subscription",".from(""push_subscription"")"
"netlify\functions\push-send.js","189","from","push_subscription",".from(""push_subscription"")"
"netlify\functions\push-send.js","210","from","push_subscription",".from(""push_subscription"")"
"js\dashboard\admin-clientes-rutas.js","249","from","ruta_cliente",".from(""ruta_cliente"")"
"js\dashboard\admin-clientes-rutas.js","421","from","ruta_cliente",".from(""ruta_cliente"")"
"js\dashboard\admin-clientes-rutas.js","427","from","ruta_cliente",".from(""ruta_cliente"")"
"js\dashboard\admin-clientes-rutas.js","435","from","ruta_cliente",".from(""ruta_cliente"")"
"js\dashboard\admin-clientes-rutas.js","440","from","ruta_cliente",".from(""ruta_cliente"")"
"js\dashboard\admin-clientes-rutas.js","491","from","ruta_cliente",".from(""ruta_cliente"")"
"js\dashboard\custodia-registros.js","404","from","ruta_cliente",".from(""ruta_cliente"")"
"js\dashboard\dashboard-admin.js","2196","from","ruta_cliente",".from(""ruta_cliente"")"
"js\mapa.js","1724","from","ruta_cliente",".from(""ruta_cliente"")"
"netlify\functions\ruta-desvio-handler.js","141","from","ruta_cliente",".from(""ruta_cliente"")"
"js\dashboard\custodia-registros.js","313","from","servicio",".from(""servicio"")"
"js\dashboard\custodia-registros.js","450","from","servicio",".from(""servicio"")"
"js\dashboard\dashboard-admin.js","961","from","servicio",".from(""servicio"")"
"js\dashboard\dashboard-admin.js","1947","from","servicio",".from(""servicio"")"
"js\dashboard\dashboard-consulta.js","195","from","servicio",".from(""servicio"")"
"js\dashboard\dashboard-consulta.js","238","from","servicio",".from(""servicio"")"
"js\dashboard\dashboard-custodia.js","630","from","servicio",".from(""servicio"")"
"js\dashboard\dashboard-custodia.js","892","from","servicio",".from(""servicio"")"
"js\dashboard\dashboard-custodia.js","907","from","servicio",".from(""servicio"")"
"js\mapa.js","495","from","servicio",".from(""servicio"")"
"js\mapa.js","1973","from","servicio",".from(""servicio"")"
"modules\alarma\alarma.js","2610","from","servicio",".from(""servicio"")"
"netlify\functions\checkin-scheduler.js","178","from","servicio",".from(""servicio"")"
"netlify\functions\push-cron-checkin.js","38","from","servicio",".from(""servicio"")"
"netlify\functions\ruta-desvio-handler.js","45","from","servicio",".from(""servicio"")"
"js\dashboard\custodia-registros.js","827","from","servicio_custodio",".from(""servicio_custodio"")"
"js\dashboard\custodia-registros.js","920","from","servicio_custodio",".from(""servicio_custodio"")"
"js\dashboard\dashboard-admin.js","366","from","servicio_custodio",".from(""servicio_custodio"")"
"js\dashboard\dashboard-admin.js","1062","from","servicio_custodio",".from(""servicio_custodio"")"
"js\dashboard\dashboard-consulta.js","680","from","servicio_custodio",".from(""servicio_custodio"")"
"js\dashboard\dashboard-custodia.js","641","from","servicio_custodio",".from(""servicio_custodio"")"
"js\mapa.js","348","from","servicio_custodio",".from(""servicio_custodio"")"
"js\mapa.js","388","from","servicio_custodio",".from(""servicio_custodio"")"
"js\mapa.js","1838","from","servicio_custodio",".from(""servicio_custodio"")"
"js\dashboard\dashboard-admin.js","984","from","ubicacion",".from(""ubicacion"")"
"js\lib\tracking-store.js","14","from","ubicacion",".from(""ubicacion"")"
"netlify\functions\ruta-desvio-handler.js","172","from","ubicacion",".from(""ubicacion"")"
"config.js","75","from","usuario",".from(""usuario"")"
"js\login\login.js","267","from","usuario",".from(""usuario"")"
"js\dashboard\custodia-registros.js","493","from","v_servicio_ultimo_ping",".from(""v_servicio_ultimo_ping"")"
"js\dashboard\dashboard-admin.js","315","from","v_ultimo_ping_por_custodia",".from(""v_ultimo_ping_por_custodia"")"
"js\dashboard\dashboard-admin.js","1067","from","v_ultimo_ping_por_custodia",".from(""v_ultimo_ping_por_custodia"")"
